date,open,high,low,close,volume,average,barCount
2023-11-27,4663.25,4672.25,4656.0,4665.5,-1.0,-1.0,-1
2023-11-28,4657.25,4679.0,4648.5,4664.0,-1.0,-1.0,-1
2023-11-29,4687.5,4698.0,4656.25,4671.0,-1.0,-1.0,-1
2023-11-30,4667.0,4680.25,4645.0,4664.25,-1.0,-1.0,-1
2023-12-01,4669.25,4708.0,4654.75,4700.0,-1.0,-1.0,-1
2023-12-04,4666.25,4683.75,4654.0,4673.75,-1.0,-1.0,-1
2023-12-05,4662.25,4686.25,4651.0,4675.75,-1.0,-1.0,-1
2023-12-06,4698.25,4698.25,4652.0,4653.0,-1.0,-1.0,-1
2023-12-07,4676.75,4696.75,4670.25,4683.0,-1.0,-1.0,-1
2023-12-08,4682.75,4717.5,4680.25,4715.25,-1.0,-1.0,-1
2023-12-11,4707.5,4731.75,4705.0,4727.25,-1.0,-1.0,-1
2023-12-12,4724.75,4753.5,4714.25,4749.75,-1.0,-1.0,-1
2023-12-13,4752.5,4815.75,4748.5,4800.0,-1.0,-1.0,-1
2023-12-14,4830.5,4842.5,4797.25,4823.0,-1.0,-1.0,-1
2023-12-15,4819.25,4831.5,4808.75,4821.25,-1.0,-1.0,-1
2023-12-18,4833.75,4854.5,4832.0,4842.5,-1.0,-1.0,-1
2023-12-19,4849.25,4873.5,4848.5,4870.0,-1.0,-1.0,-1
2023-12-20,4862.25,4882.75,4794.25,4804.0,-1.0,-1.0,-1
2023-12-21,4832.5,4849.5,4806.5,4847.0,-1.0,-1.0,-1
2023-12-22,4857.75,4873.0,4835.5,4850.25,-1.0,-1.0,-1
2023-12-26,4859.75,4886.0,4858.75,4878.75,-1.0,-1.0,-1
2023-12-27,4873.75,4887.75,4867.75,4886.25,-1.0,-1.0,-1
2023-12-28,4883.5,4891.5,4879.5,4884.75,-1.0,-1.0,-1
2023-12-29,4879.75,4886.5,4847.75,4864.0,-1.0,-1.0,-1
2024-01-02,4835.0,4848.75,4816.75,4839.5,-1.0,-1.0,-1
2024-01-03,4815.5,4822.75,4792.25,4799.5,-1.0,-1.0,-1
2024-01-04,4791.25,4818.5,4779.0,4784.25,-1.0,-1.0,-1
2024-01-05,4782.25,4812.0,4771.5,4786.75,-1.0,-1.0,-1
2024-01-08,4790.75,4856.0,4789.5,4850.5,-1.0,-1.0,-1
2024-01-09,4825.5,4856.75,4820.0,4843.5,-1.0,-1.0,-1
2024-01-10,4847.75,4881.25,4844.75,4872.75,-1.0,-1.0,-1
2024-01-11,4880.0,4885.25,4825.0,4864.25,-1.0,-1.0,-1
2024-01-12,4881.25,4888.75,4854.0,4863.5,-1.0,-1.0,-1
2024-01-16,4853.75,4867.75,4831.75,4852.0,-1.0,-1.0,-1
2024-01-17,4819.0,4828.5,4798.75,4822.0,-1.0,-1.0,-1
2024-01-18,4838.75,4870.0,4822.5,4864.5,-1.0,-1.0,-1
2024-01-19,4875.5,4928.75,4868.5,4925.0,-1.0,-1.0,-1
2024-01-22,4940.5,4953.5,4929.0,4936.25,-1.0,-1.0,-1
2024-01-23,4941.5,4957.25,4929.5,4956.5,-1.0,-1.0,-1
2024-01-24,4979.0,4989.5,4945.25,4957.5,-1.0,-1.0,-1
2024-01-25,4975.0,4982.75,4953.0,4975.0,-1.0,-1.0,-1
2024-01-26,4974.75,4990.5,4964.0,4969.0,-1.0,-1.0,-1
2024-01-29,4975.0,5012.25,4968.75,5006.0,-1.0,-1.0,-1
2024-01-30,5002.0,5013.25,4989.5,4992.0,-1.0,-1.0,-1
2024-01-31,4981.5,4985.75,4920.75,4926.75,-1.0,-1.0,-1
2024-02-01,4937.75,5019.75,4928.5,5015.0,-1.0,-1.0,-1
2024-02-02,4989.25,5054.75,4985.25,5030.0,-1.0,-1.0,-1
2024-02-05,5030.0,5034.75,4994.0,5016.25,-1.0,-1.0,-1
2024-02-06,5027.0,5035.25,5011.5,5029.0,-1.0,-1.0,-1
2024-02-07,5054.75,5077.5,5045.0,5072.75,-1.0,-1.0,-1
2024-02-08,5071.0,5077.75,5062.5,5072.25,-1.0,-1.0,-1
2024-02-09,5078.25,5106.75,5074.25,5100.25,-1.0,-1.0,-1
2024-02-12,5101.25,5125.25,5090.0,5094.25,-1.0,-1.0,-1
2024-02-13,5033.25,5046.25,4994.0,5031.5,-1.0,-1.0,-1
2024-02-14,5055.5,5081.0,5030.75,5076.5,-1.0,-1.0,-1
2024-02-15,5077.5,5110.75,5072.5,5109.5,-1.0,-1.0,-1
2024-02-16,5102.0,5113.75,5072.0,5073.25,-1.0,-1.0,-1
2024-02-20,5060.25,5067.25,5027.25,5048.5,-1.0,-1.0,-1
2024-02-21,5036.25,5079.5,5017.5,5078.5,-1.0,-1.0,-1
2024-02-22,5122.25,5168.5,5112.0,5154.5,-1.0,-1.0,-1
2024-02-23,5175.75,5184.5,5153.5,5156.5,-1.0,-1.0,-1
2024-02-26,5164.75,5169.25,5137.25,5138.25,-1.0,-1.0,-1
2024-02-27,5147.5,5153.75,5127.75,5151.25,-1.0,-1.0,-1
2024-02-28,5133.0,5148.75,5127.75,5130.5,-1.0,-1.0,-1
2024-02-29,5159.0,5176.0,5130.75,5162.0,-1.0,-1.0,-1
2024-03-01,5167.0,5211.25,5162.5,5200.5,-1.0,-1.0,-1
2024-03-04,5197.75,5220.0,5195.25,5196.75,-1.0,-1.0,-1
2024-03-05,5179.25,5184.0,5124.25,5152.75,-1.0,-1.0,-1
2024-03-06,5181.25,5196.5,5159.25,5175.25,-1.0,-1.0,-1
2024-03-07,5205.5,5233.75,5195.75,5220.25,-1.0,-1.0,-1
2024-03-08,5229.0,5257.5,5185.0,5195.75,-1.0,-1.0,-1
2024-03-11,5177.75,5192.0,5157.0,5191.0,-1.0,-1.0,-1
2024-03-12,5206.25,5247.0,5179.75,5239.0,-1.0,-1.0,-1
2024-03-13,5243.5,5246.0,5217.25,5237.75,-1.0,-1.0,-1
2024-03-14,5240.0,5241.5,5188.0,5218.0,-1.0,-1.0,-1
2024-03-15,5186.25,5201.75,5167.75,5183.25,-1.0,-1.0,-1
2024-03-18,5225.75,5240.25,5210.0,5214.5,-1.0,-1.0,-1
2024-03-19,5205.75,5244.75,5195.0,5239.5,-1.0,-1.0,-1
2024-03-20,5241.0,5297.75,5233.0,5296.25,-1.0,-1.0,-1
2024-03-21,5315.0,5322.75,5300.0,5307.5,-1.0,-1.0,-1
2024-03-22,5301.25,5306.0,5287.75,5289.5,-1.0,-1.0,-1
2024-03-25,5276.75,5288.75,5274.25,5280.75,-1.0,-1.0,-1
2024-03-26,5290.0,5294.25,5263.0,5272.5,-1.0,-1.0,-1
2024-03-27,5293.25,5314.0,5270.5,5308.25,-1.0,-1.0,-1
2024-03-28,5309.75,5321.0,5302.0,5304.25,-1.0,-1.0,-1
2024-04-01,5311.75,5317.5,5282.25,5294.0,-1.0,-1.0,-1
2024-04-02,5253.0,5263.25,5235.0,5262.25,-1.0,-1.0,-1
2024-04-03,5248.0,5281.0,5247.0,5269.25,-1.0,-1.0,-1
2024-04-04,5305.5,5308.5,5192.5,5197.25,-1.0,-1.0,-1
2024-04-05,5211.25,5272.5,5206.5,5256.0,-1.0,-1.0,-1
